passID,timestamp,stationRef,vehicleRef,charge,date
PNY2910910,30/1/2019 00:34,AO05,DP11ENT03275,3.1,30/1/2019 
FEN4062366,30/1/2019 00:59,MR08,XV91YMP27722,2.5,30/1/2019 
QPA7178739,30/1/2019 01:01,AO15,BM25PHF40639,13.0,30/1/2019 
KHL0035559,30/1/2019 01:13,NE09,PM58XHX45588,1.5,30/1/2019 
QGP2120323,30/1/2019 02:03,NE12,PM58XHX45588,1.5,30/1/2019 
NUH4708330,30/1/2019 03:52,MR01,QO68DIC93032,2.5,30/1/2019 
SUD7139100,30/1/2019 04:34,NE03,NO82BAX82566,3.1,30/1/2019 
PUH3791153,30/1/2019 06:04,AO19,XV40HUQ04740,2.8,30/1/2019 
EPE4212569,30/1/2019 07:35,OO03,AT19HLV57173,3.1,30/1/2019 
TKJ9459851,30/1/2019 08:12,GF00,MA30QLI76818,2.5,30/1/2019 
UJT4416189,30/1/2019 11:00,AO15,LG64ARC91224,13.0,30/1/2019 
JMH7842538,30/1/2019 11:06,AO05,BM25PHF40639,13.0,30/1/2019 
HKT0806549,30/1/2019 11:34,NE04,NY14GZR94632,2.8,30/1/2019 
SSK7570359,30/1/2019 11:45,KO00,RV87TIY76692,2.5,30/1/2019 
XTD0976348,30/1/2019 11:51,KO02,PE73VJU23485,2.5,30/1/2019 
QRJ7941824,30/1/2019 13:39,NE16,FY47TUN40300,1.0,30/1/2019 
IQB3999302,30/1/2019 13:45,OO06,HA82SCK64299,2.2,30/1/2019 
JKW9303739,30/1/2019 14:35,OO11,VJ92OYV94295,2.5,30/1/2019 
KEC2599330,30/1/2019 14:41,GF00,WU78BMX13511,1.0,30/1/2019 
HKN4455835,30/1/2019 15:08,NE13,EG95RTB75032,2.8,30/1/2019 
VUE8740323,30/1/2019 15:19,NE00,DO24BCW15511,1.5,30/1/2019 
KWJ8978487,30/1/2019 17:57,MR04,KF48RSD79865,2.8,30/1/2019 
VPD9678695,30/1/2019 18:13,EG00,XE59BZM26378,2.5,30/1/2019 
BRC3047695,30/1/2019 19:55,GF00,IO09FGE68100,2.8,30/1/2019 
CJH8719544,30/1/2019 20:19,MR07,UA13YTK28483,2.8,30/1/2019 
WCD7578150,30/1/2019 20:24,MR01,QN23UHH39091,2.8,30/1/2019 
HUI0838553,30/1/2019 21:50,AO19,HT62RDI04611,2.8,30/1/2019 
AUQ6603944,30/1/2019 22:01,KO07,QO77TFN61853,2.2,30/1/2019 
GGY5125691,30/1/2019 22:34,KO02,ED51EWW52190,2.8,30/1/2019 
OPM0892804,30/1/2019 22:34,GF00,JE65QJK64802,2.8,30/1/2019 
XJI8331426,30/1/2019 22:40,AO16,NO82BAX82566,2.8,30/1/2019 
YSA0035064,30/1/2019 23:56,MR08,UA13YTK28483,2.8,30/1/2019 
