passID,timestamp,stationRef,vehicleRef,charge,date
TNZ6362680,9/9/2020 00:11,GF00,MA30QLI76818,2.5,9/9/2020 
LUX4086380,9/9/2020 01:06,AO05,IO09FGE68100,2.8,9/9/2020 
DVZ4639310,9/9/2020 02:20,NE08,EV77EDV52985,1.0,9/9/2020 
XSV5290051,9/9/2020 04:27,OO12,QR03XCJ37459,2.8,9/9/2020 
EGW3217106,9/9/2020 04:39,MR04,HA82SCK64299,1.5,9/9/2020 
RAE5898759,9/9/2020 07:52,OO07,XV40HUQ04740,1.0,9/9/2020 
FPX5946456,9/9/2020 08:49,GF00,IO09FGE68100,2.8,9/9/2020 
BKQ7697756,9/9/2020 10:12,GF00,IO09FGE68100,2.8,9/9/2020 
RAX3332337,9/9/2020 11:09,EG08,CM15YCB60994,2.0,9/9/2020 
JUY7799635,9/9/2020 11:41,AO13,CK97FAU13897,2.8,9/9/2020 
AVT6627724,9/9/2020 12:01,OO12,QR03XCJ37459,2.8,9/9/2020 
TSQ5887140,9/9/2020 12:09,AO11,KW50MJG67260,2.8,9/9/2020 
XCE3209367,9/9/2020 12:12,OO03,EM54HQI58682,2.8,9/9/2020 
TWJ4952169,9/9/2020 12:23,AO06,XV40HUQ04740,2.8,9/9/2020 
PQO6226477,9/9/2020 12:33,KO07,IX01MVL33676,2.5,9/9/2020 
ALK6362289,9/9/2020 13:56,EG11,SL09NOT64494,2.2,9/9/2020 
KRW4831258,9/9/2020 14:44,KO04,KB55KTM48860,2.5,9/9/2020 
GKQ2529340,9/9/2020 15:16,AO09,QU94IGC75528,2.8,9/9/2020 
PFO4450257,9/9/2020 16:08,NE12,EV77EDV52985,1.0,9/9/2020 
FEC7312371,9/9/2020 17:34,NE11,PD45WOT56494,2.0,9/9/2020 
UMD3619654,9/9/2020 18:17,EG02,IW53OQE31439,2.8,9/9/2020 
QHK1151460,9/9/2020 18:29,KO09,KB55KTM48860,2.5,9/9/2020 
QLR2665777,9/9/2020 18:41,EG10,QO68DIC93032,1.0,9/9/2020 
OSS8348244,9/9/2020 18:46,AO14,PE73VJU23485,2.8,9/9/2020 
UUN4177185,9/9/2020 18:47,MR07,DO24BCW15511,1.5,9/9/2020 
BUO9422289,9/9/2020 19:16,OO07,EE22TMX10817,1.5,9/9/2020 
TMX4818045,9/9/2020 19:37,OO12,AT19HLV57173,2.8,9/9/2020 
LUL7699818,9/9/2020 20:46,NE01,OC94ASJ72024,2.5,9/9/2020 
IVT1806147,9/9/2020 23:17,GF00,UF84JOS00561,2.8,9/9/2020 
GWD2707299,9/9/2020 23:18,OO03,RK48BOP88344,2.8,9/9/2020 
ZWE1261155,9/9/2020 23:19,AO18,EN26OAB52983,2.8,9/9/2020 
AEL6739702,9/9/2020 23:35,EG01,QU94IGC75528,1.25,9/9/2020 
