passID,timestamp,stationRef,vehicleRef,charge,date
OWP7468071,22/2/2020 00:49,MR08,HE38BQH01623,2.8,22/2/2020 
ERE2235030,22/2/2020 01:18,AO12,QH15HWX24570,2.8,22/2/2020 
AOG9919726,22/2/2020 01:22,OO08,DW44ZOO26361,1.0,22/2/2020 
UQL8977054,22/2/2020 01:46,EG06,CR31GMR97972,2.2,22/2/2020 
UWN5555948,22/2/2020 02:31,NE03,EM54HQI58682,2.2,22/2/2020 
DSD3567376,22/2/2020 02:34,OO00,JF94VYA88954,2.8,22/2/2020 
VCX7766368,22/2/2020 02:48,OO01,VJ92OYV94295,2.5,22/2/2020 
ADN1069348,22/2/2020 02:56,OO10,EE22TMX10817,2.0,22/2/2020 
LLR7296858,22/2/2020 03:04,GF00,SL09NOT64494,2.5,22/2/2020 
EOC9507057,22/2/2020 04:49,NE12,EG95RTB75032,2.8,22/2/2020 
HDW9491215,22/2/2020 04:59,NE06,JV67MTI17124,2.5,22/2/2020 
BOA8804810,22/2/2020 05:02,NE02,NY14GZR94632,2.8,22/2/2020 
ISQ1700045,22/2/2020 06:59,OO11,XV40HUQ04740,2.5,22/2/2020 
PZG3160194,22/2/2020 09:46,EG01,CM15YCB60994,2.0,22/2/2020 
WSA6742304,22/2/2020 10:01,OO08,RK48BOP88344,2.8,22/2/2020 
SNK3800299,22/2/2020 11:19,NE03,JV67MTI17124,2.5,22/2/2020 
MLE2149413,22/2/2020 11:48,EG00,XE59BZM26378,2.5,22/2/2020 
WHB8154243,22/2/2020 12:50,KO01,RV87TIY76692,2.5,22/2/2020 
NRX3488400,22/2/2020 13:10,EG12,IN99SEN20660,2.8,22/2/2020 
ZYU1591996,22/2/2020 13:12,AO18,BM25PHF40639,13.0,22/2/2020 
LOW7614272,22/2/2020 15:49,NE13,EV77EDV52985,1.0,22/2/2020 
HJR4311246,22/2/2020 15:53,KO07,OC94ASJ72024,1.0,22/2/2020 
VLR1187079,22/2/2020 17:29,AO19,BZ76ROL87339,1.0,22/2/2020 
ALE0184397,22/2/2020 18:09,EG06,XE59BZM26378,2.5,22/2/2020 
NAF8695039,22/2/2020 20:13,NE11,FL13UMN92207,2.8,22/2/2020 
GWE5217342,22/2/2020 20:34,NE05,QP02SYE47964,2.8,22/2/2020 
ETX2123188,22/2/2020 21:02,EG01,HE38BQH01623,2.0,22/2/2020 
FUA3352344,22/2/2020 21:27,AO01,AT19HLV57173,2.8,22/2/2020 
JNS8352245,22/2/2020 21:33,MR08,UA13YTK28483,2.8,22/2/2020 
WSK2265303,22/2/2020 21:36,OO13,IC95TLY24827,2.0,22/2/2020 
AIF9225014,22/2/2020 21:38,MR04,RR98KQE80731,1.25,22/2/2020 
LOU0852459,22/2/2020 22:10,AO16,YL27IFD65117,2.0,22/2/2020 
NFP6619515,22/2/2020 22:32,AO17,BM25PHF40639,13.0,22/2/2020 
