passID,timestamp,stationRef,vehicleRef,charge,date
HOX6733158,6/11/2021 00:30,EG05,CM15YCB60994,2.0,6/11/2021 
UAG3866781,6/11/2021 00:47,GF00,CK97FAU13897,2.5,6/11/2021 
OSP9246833,6/11/2021 02:35,AO11,BM25PHF40639,13.0,6/11/2021 
AAW1369340,6/11/2021 05:49,EG09,QU94IGC75528,2.2,6/11/2021 
CQU9449204,6/11/2021 06:09,KO06,YH66OKD41942,2.8,6/11/2021 
XHC9334758,6/11/2021 07:13,MR01,QN23UHH39091,2.8,6/11/2021 
KBR4130222,6/11/2021 07:29,MR05,QN23UHH39091,2.8,6/11/2021 
GXY5718501,6/11/2021 08:31,OO06,QR03XCJ37459,2.8,6/11/2021 
EYF3852954,6/11/2021 08:34,EG01,TV81MAQ99005,2.8,6/11/2021 
KPS4506723,6/11/2021 09:44,GF00,QN12NTR81378,2.8,6/11/2021 
QPN1265597,6/11/2021 10:17,NE03,IA29IQS63679,1.0,6/11/2021 
KTR6930599,6/11/2021 10:17,OO10,QR03XCJ37459,2.8,6/11/2021 
XJC1082650,6/11/2021 10:42,AO13,BZ76ROL87339,2.8,6/11/2021 
QGZ1312945,6/11/2021 10:47,MR07,IZ65WAT29135,2.0,6/11/2021 
EQJ8568291,6/11/2021 11:28,KO09,KB55KTM48860,2.5,6/11/2021 
AMA8803405,6/11/2021 11:33,KO01,VX68BAR38623,3.1,6/11/2021 
JDJ6063770,6/11/2021 12:28,AO18,DV04FQL29609,3.1,6/11/2021 
JCS7484273,6/11/2021 13:30,EG09,CM15YCB60994,2.0,6/11/2021 
IQA4208628,6/11/2021 14:00,AO03,PE73VJU23485,2.8,6/11/2021 
LIU7236536,6/11/2021 15:00,AO08,RV87TIY76692,2.8,6/11/2021 
LTT1774474,6/11/2021 17:25,OO03,JF94VYA88954,2.8,6/11/2021 
CXQ7836933,6/11/2021 19:14,MR05,IZ65WAT29135,2.0,6/11/2021 
BEB2818215,6/11/2021 19:44,MR06,QO68DIC93032,2.5,6/11/2021 
PUS6413484,6/11/2021 20:00,GF00,BY85QGR11636,2.5,6/11/2021 
NSD0241940,6/11/2021 20:03,NE10,NZ35XLQ89678,1.5,6/11/2021 
FPB7689740,6/11/2021 21:47,AO03,OC94ASJ72024,1.0,6/11/2021 
INW7941892,6/11/2021 22:32,MR07,IW53OQE31439,2.5,6/11/2021 
FUH2269990,6/11/2021 22:54,NE09,IA29IQS63679,1.0,6/11/2021 
MLC5319731,6/11/2021 23:39,GF00,IO09FGE68100,2.8,6/11/2021 
EOI2133959,6/11/2021 23:46,AO11,OC94ASJ72024,1.0,6/11/2021 
