passID,timestamp,stationRef,vehicleRef,charge,date
AFD9447487,7/5/2020 00:53,GF00,LM86GYO69819,2.8,7/5/2020 
BXH6759741,7/5/2020 01:02,AO16,HT62RDI04611,2.8,7/5/2020 
RWZ3430276,7/5/2020 01:17,MR04,BI87HYL81972,1.0,7/5/2020 
OFN4114238,7/5/2020 02:20,KO08,WY00MLL63827,1.5,7/5/2020 
CGU8757851,7/5/2020 02:20,KO01,IX01MVL33676,2.5,7/5/2020 
DFC5897825,7/5/2020 02:40,EG05,TZ48CCW54765,3.1,7/5/2020 
FYX0903785,7/5/2020 02:58,KO03,QX75YWC61835,2.5,7/5/2020 
OPG1593387,7/5/2020 03:08,MR02,UA13YTK28483,2.8,7/5/2020 
ODY6424901,7/5/2020 03:37,OO00,QR03XCJ37459,2.8,7/5/2020 
VPY8067421,7/5/2020 04:21,OO01,WG11QVY31890,1.0,7/5/2020 
KIS9392827,7/5/2020 04:31,AO12,DP11ENT03275,3.1,7/5/2020 
YLV7753958,7/5/2020 04:33,MR05,QO68DIC93032,2.5,7/5/2020 
LPT1422915,7/5/2020 04:46,OO11,XV40HUQ04740,1.0,7/5/2020 
QBE7077778,7/5/2020 05:19,OO04,JF94VYA88954,2.8,7/5/2020 
YKC9631459,7/5/2020 06:29,KO05,QO77TFN61853,2.2,7/5/2020 
QNC7324985,7/5/2020 06:45,KO09,KB55KTM48860,2.5,7/5/2020 
YPT1731928,7/5/2020 07:05,OO02,VJ92OYV94295,2.5,7/5/2020 
VOL7943110,7/5/2020 08:12,EG04,QN12NTR81378,1.0,7/5/2020 
UZV4939834,7/5/2020 08:18,MR06,QN23UHH39091,1.0,7/5/2020 
DHA0887073,7/5/2020 08:28,KO06,RV87TIY76692,2.5,7/5/2020 
SWF5013421,7/5/2020 10:10,MR08,QO68DIC93032,2.5,7/5/2020 
SZP4839053,7/5/2020 10:14,AO17,PE73VJU23485,2.8,7/5/2020 
MAW8319085,7/5/2020 13:14,NE09,EM54HQI58682,2.8,7/5/2020 
ZVZ1752263,7/5/2020 13:14,KO06,ZY93PCY41868,1.5,7/5/2020 
XYS5003440,7/5/2020 13:20,GF00,SL09NOT64494,2.5,7/5/2020 
PKA7326918,7/5/2020 13:37,AO03,DP11ENT03275,3.1,7/5/2020 
HSX7557230,7/5/2020 13:58,EG10,TV81MAQ99005,2.8,7/5/2020 
CDA4925021,7/5/2020 15:26,KO04,IX01MVL33676,2.5,7/5/2020 
YPB4031177,7/5/2020 16:36,GF00,CK97FAU13897,2.5,7/5/2020 
WQA8482064,7/5/2020 18:42,GF00,XF28DGK65250,2.0,7/5/2020 
XMA8982684,7/5/2020 18:44,NE09,FY47TUN40300,1.0,7/5/2020 
QGD4799312,7/5/2020 19:29,EG05,XV40HUQ04740,3.1,7/5/2020 
JCN6059794,7/5/2020 20:02,AO17,KF48RSD79865,2.8,7/5/2020 
MEH6399207,7/5/2020 20:33,GF00,CP56DAO45598,2.8,7/5/2020 
WED6712563,7/5/2020 21:28,NE02,UP28MBM38391,1.0,7/5/2020 
SEW5484844,7/5/2020 21:36,GF00,CK97FAU13897,2.5,7/5/2020 
OQA2088000,7/5/2020 22:06,GF00,SL09NOT64494,2.5,7/5/2020 
OST0421800,7/5/2020 22:11,AO10,BZ76ROL87339,2.8,7/5/2020 
HHH8562953,7/5/2020 22:55,GF00,BY85QGR11636,2.5,7/5/2020 
ITZ2395928,7/5/2020 23:48,MR06,RR98KQE80731,1.25,7/5/2020 
