passID,timestamp,stationRef,vehicleRef,charge,date
GBZ6296301,30/7/2019 02:13,AO02,DV04FQL29609,3.1,30/7/2019 
PBR2509168,30/7/2019 02:55,KO04,JO50FSF60755,2.2,30/7/2019 
GCV6389516,30/7/2019 04:00,KO02,KB55KTM48860,2.5,30/7/2019 
PJD6301155,30/7/2019 05:16,KO04,QO77TFN61853,2.2,30/7/2019 
EPQ6832314,30/7/2019 05:22,NE14,ZY93PCY41868,1.5,30/7/2019 
LXR4427288,30/7/2019 05:44,GF00,LM86GYO69819,2.8,30/7/2019 
VXW1695258,30/7/2019 06:29,MR06,IZ65WAT29135,2.0,30/7/2019 
OIN7542821,30/7/2019 07:02,OO08,VJ92OYV94295,2.5,30/7/2019 
IXM5866365,30/7/2019 07:10,KO09,NY14GZR94632,1.25,30/7/2019 
EGX5231920,30/7/2019 07:18,AO07,DV04FQL29609,3.1,30/7/2019 
WTQ3929074,30/7/2019 07:48,OO08,QR03XCJ37459,2.8,30/7/2019 
YQR6411684,30/7/2019 07:55,NE15,NY14GZR94632,2.8,30/7/2019 
PMJ4752062,30/7/2019 07:55,NE02,PD45WOT56494,2.0,30/7/2019 
KQI3313323,30/7/2019 08:16,MR03,XV91YMP27722,2.5,30/7/2019 
BXY0892575,30/7/2019 09:06,MR00,XV91YMP27722,2.5,30/7/2019 
NFM7635402,30/7/2019 09:20,GF00,YX66XYW62640,3.1,30/7/2019 
AIP0093632,30/7/2019 10:44,KO05,WY00MLL63827,3.1,30/7/2019 
IPQ0676925,30/7/2019 11:06,MR02,UA13YTK28483,2.0,30/7/2019 
ZVZ6491548,30/7/2019 12:02,MR06,IZ65WAT29135,2.0,30/7/2019 
QSD0973043,30/7/2019 12:13,OO03,IC95TLY24827,2.0,30/7/2019 
IDD7641446,30/7/2019 12:46,NE12,EV77EDV52985,1.0,30/7/2019 
ONB4567852,30/7/2019 15:02,OO03,QR03XCJ37459,2.8,30/7/2019 
UQB4624952,30/7/2019 15:03,KO00,IZ65WAT29135,2.5,30/7/2019 
XVO8295150,30/7/2019 15:16,MR04,JE65QJK64802,1.5,30/7/2019 
IJS7681290,30/7/2019 16:26,OO12,XV40HUQ04740,1.0,30/7/2019 
MXT9788254,30/7/2019 18:24,EG06,TZ48CCW54765,3.1,30/7/2019 
WAC8129756,30/7/2019 19:06,NE11,QP02SYE47964,2.8,30/7/2019 
HNN0016263,30/7/2019 19:12,NE05,DW44ZOO26361,1.25,30/7/2019 
NKS0961519,30/7/2019 19:23,AO10,BZ76ROL87339,1.0,30/7/2019 
ALW6869118,30/7/2019 19:32,AO17,BZ76ROL87339,1.0,30/7/2019 
ZCL9740901,30/7/2019 20:30,NE12,NZ35XLQ89678,1.5,30/7/2019 
GIF4438374,30/7/2019 20:37,NE10,NY14GZR94632,2.8,30/7/2019 
VTJ7523960,30/7/2019 21:14,AO11,NZ35XLQ89678,2.8,30/7/2019 
EZR9676023,30/7/2019 23:30,AO14,MU06LHX94338,2.8,30/7/2019 
KXT4827363,30/7/2019 23:34,KO01,IC95TLY24827,1.0,30/7/2019 
