passID,timestamp,stationRef,vehicleRef,charge,date
LOZ3001594,26/1/2019 00:11,NE09,LC72NRN52084,2.2,26/1/2019 
YEG2876812,26/1/2019 00:27,OO06,AY38OQF67603,2.8,26/1/2019 
HQV9557972,26/1/2019 01:16,NE04,PD45WOT56494,2.0,26/1/2019 
HEL5029673,26/1/2019 02:21,OO04,XF28DGK65250,1.25,26/1/2019 
LNV7432812,26/1/2019 02:44,EG09,QH15HWX24570,1.0,26/1/2019 
DKE5226732,26/1/2019 03:29,KO08,ED51EWW52190,2.8,26/1/2019 
UUK0323651,26/1/2019 04:38,KO07,ED51EWW52190,2.8,26/1/2019 
UZR2365720,26/1/2019 06:19,EG04,VL67TFO75321,13.0,26/1/2019 
ITD8304444,26/1/2019 07:04,NE10,EV77EDV52985,1.0,26/1/2019 
TXX8016755,26/1/2019 07:11,MR06,HE38BQH01623,2.8,26/1/2019 
TFO8362436,26/1/2019 08:18,NE08,QP02SYE47964,2.8,26/1/2019 
ZWV9623220,26/1/2019 08:20,MR06,KW50MJG67260,1.25,26/1/2019 
NAJ7198108,26/1/2019 09:39,EG04,IW53OQE31439,2.8,26/1/2019 
ELP4125937,26/1/2019 09:54,EG01,JD78PQD35395,1.0,26/1/2019 
UDP8747542,26/1/2019 10:14,EG02,CM15YCB60994,2.0,26/1/2019 
AKQ7716258,26/1/2019 11:57,OO04,VJ92OYV94295,2.5,26/1/2019 
GDU3624919,26/1/2019 13:09,GF00,IO09FGE68100,2.8,26/1/2019 
HKS0791161,26/1/2019 14:57,AO09,RR73DWB65452,2.8,26/1/2019 
DAD0486025,26/1/2019 16:06,MR08,BI87HYL81972,1.0,26/1/2019 
XIK2076229,26/1/2019 16:36,AO06,DV04FQL29609,3.1,26/1/2019 
WXZ9777982,26/1/2019 17:07,GF00,LM86GYO69819,2.8,26/1/2019 
YJH9973363,26/1/2019 17:22,MR04,QO68DIC93032,2.5,26/1/2019 
ETS6267558,26/1/2019 17:33,NE08,IA29IQS63679,1.0,26/1/2019 
GNA6989666,26/1/2019 17:34,OO13,QR03XCJ37459,2.8,26/1/2019 
AWV0693889,26/1/2019 18:07,OO04,VJ92OYV94295,2.5,26/1/2019 
HRK3861958,26/1/2019 18:43,MR03,UA13YTK28483,2.8,26/1/2019 
SLS8033115,26/1/2019 18:52,MR08,QN23UHH39091,2.8,26/1/2019 
YCW7661409,26/1/2019 19:44,OO12,EE22TMX10817,2.0,26/1/2019 
UQL2187162,26/1/2019 19:48,GF00,IO09FGE68100,2.8,26/1/2019 
TYS2803591,26/1/2019 19:53,OO06,QR03XCJ37459,2.8,26/1/2019 
FSM1559326,26/1/2019 20:15,NE14,IA29IQS63679,1.0,26/1/2019 
JJV3720691,26/1/2019 21:03,GF00,WU78BMX13511,1.0,26/1/2019 
GUF0437664,26/1/2019 21:46,EG07,JD78PQD35395,1.0,26/1/2019 
GDE0785324,26/1/2019 22:04,OO02,LC72NRN52084,3.1,26/1/2019 
ZEH1544927,26/1/2019 23:15,EG03,EC02LZC49528,2.8,26/1/2019 
