passID,timestamp,stationRef,vehicleRef,charge,date
VUO5524051,23/4/2021 00:33,KO01,UO75YNW62238,2.8,23/4/2021 
KIL9271367,23/4/2021 02:05,OO06,EE22TMX10817,2.0,23/4/2021 
DRC0196065,23/4/2021 03:11,EG08,AT19HLV57173,2.0,23/4/2021 
IGL7361341,23/4/2021 03:11,NE12,VX68BAR38623,1.5,23/4/2021 
GJS1158245,23/4/2021 04:24,GF00,WU78BMX13511,1.0,23/4/2021 
ZMG5179421,23/4/2021 04:51,GF00,CP56DAO45598,2.8,23/4/2021 
YMF0541115,23/4/2021 04:54,AO02,OC94ASJ72024,1.0,23/4/2021 
DFA5879764,23/4/2021 05:06,KO09,KB55KTM48860,2.5,23/4/2021 
SES5962365,23/4/2021 06:44,EG11,XV91YMP27722,2.2,23/4/2021 
MIY7802692,23/4/2021 07:05,AO08,HT62RDI04611,2.8,23/4/2021 
NBT1439091,23/4/2021 08:11,OO04,VJ92OYV94295,2.5,23/4/2021 
QXB2134033,23/4/2021 08:17,NE11,ED51EWW52190,2.8,23/4/2021 
AXY4200717,23/4/2021 08:37,KO00,QW79CHL42244,2.8,23/4/2021 
SUI8330690,23/4/2021 09:45,MR07,KF48RSD79865,2.8,23/4/2021 
GXA6685132,23/4/2021 10:30,MR00,EZ65FLV39493,2.8,23/4/2021 
WUI0564043,23/4/2021 13:22,NE13,AY38OQF67603,2.2,23/4/2021 
CBG0812273,23/4/2021 13:25,AO09,YL27IFD65117,2.0,23/4/2021 
LBK4385474,23/4/2021 13:35,AO01,HT62RDI04611,2.8,23/4/2021 
WCU3179424,23/4/2021 13:45,GF00,UF84JOS00561,2.8,23/4/2021 
ZQT6394741,23/4/2021 14:40,AO05,MX39VOS38645,2.8,23/4/2021 
ZBE6597461,23/4/2021 15:17,OO05,EN26OAB52983,3.1,23/4/2021 
HTM1658475,23/4/2021 16:26,GF00,MP14WFM40909,2.8,23/4/2021 
FSA3859851,23/4/2021 16:28,GF00,CP56DAO45598,2.8,23/4/2021 
UDZ3548101,23/4/2021 16:30,NE04,VX68BAR38623,1.5,23/4/2021 
WBM9194109,23/4/2021 16:55,AO14,LG64ARC91224,13.0,23/4/2021 
FJM8014719,23/4/2021 17:03,EG04,XE59BZM26378,2.5,23/4/2021 
RMF6564969,23/4/2021 17:38,AO18,PE73VJU23485,2.8,23/4/2021 
NKH2170705,23/4/2021 18:04,NE12,JV67MTI17124,2.5,23/4/2021 
MAQ2936239,23/4/2021 19:27,KO08,ED51EWW52190,2.8,23/4/2021 
CBU7192999,23/4/2021 21:36,MR01,RR98KQE80731,1.25,23/4/2021 
QNK3138410,23/4/2021 21:47,AO14,LG64ARC91224,13.0,23/4/2021 
WDR4831466,23/4/2021 22:04,GF00,IO09FGE68100,2.8,23/4/2021 
SWX0555645,23/4/2021 23:48,MR08,HE38BQH01623,2.8,23/4/2021 
